bank_partner,country_code,currency_supported,payment_rail,average_completion_time_in_seconds,number_of_failures_per_thousand_transactions,active,routing_code,operating_hours,is_weekend,cost_in_us_cents,discounted_cost_in_us_cents,discount_rule,transaction_date
IDBI Bank,IN,INR,IMPS,941,7,True,IN5889077169,00:00-23:59,False,1675,1675,,2025-03-21 00:19:34
US Bank,US,USD,Fedwire,1002,20,True,646884679,08:30-17:00,False,2627,2527,$1 off per 50 txn,2025-04-02 19:46:57
Liberty Bank,US,USD,Fedwire,1740,10,True,382478279,08:30-17:00,False,3546,3546,,2025-01-14 08:29:19
Barclays,UK,GBP,CHAPS,1466,12,True,DXDMGB8U,08:00-16:00,False,287,287,,2025-02-24 08:56:09
Landesbank Hessen-Th�ringen,DE,USD,SWIFT,69026,8,True,CFLFGBBO4QL,00:00-23:59,False,2603,2603,,2025-01-23 13:14:03
First Direct,UK,GBP,DIRECT,1934,2,True,ANLUGB58,00:00-23:59,True,123,123,,2025-04-06 08:36:08
ABC International Bank plc,UK,GBP,DIRECT,2135,19,True,LSMLGBIB,00:00-23:59,False,87,87,,2025-01-22 06:51:43
Metro Bank,UK,GBP,DIRECT,359,20,True,SWDWGBIP7VW,00:00-23:59,True,123,123,,2025-03-29 17:49:52
Bank of the West,US,USD,ACH,2836,15,True,009660008,00:00-23:59,False,111,111,,2025-04-09 17:52:35
ING,DE,EUR,ELIXIR,1096,16,True,FLFVGBOF,08:00-16:00,False,311,311,,2025-03-18 18:22:30
First Bank,US,USD,Fedwire,570,4,False,217257514,08:30-17:00,False,2551,2551,,2025-04-22 19:45:29
Fidelity Bank,US,USD,Fedwire,2622,10,True,504881375,08:30-17:00,False,2583,2583,,2025-03-07 01:36:34
Republic Bank,US,USD,ACH,3068,12,False,054381375,00:00-23:59,False,138,138,,2025-01-31 21:56:43
Kotak Mahindra Bank,IN,INR,NEFT,1503,6,True,IN5239940524,08:00-19:00,False,165,165,,2025-03-31 07:02:12
TARGOBANK,DE,EUR,SEPA,2223,7,True,OOQLGB60,00:00-23:59,False,111,111,,2025-04-09 02:42:56
National Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,2153,11,True,POALGBT6QAP,08:00-17:00,False,1401,1401,,2025-02-17 11:37:26
Volkswagen Bank,DE,EUR,SEPA,667,14,False,TKYKGB81Z95,00:00-23:59,False,180,180,,2025-03-25 00:31:33
N26,DE,EUR,SEPA,1727,8,True,IGXQGBR8FRE,00:00-23:59,True,53,53,,2025-01-26 03:42:45
ING,DE,EUR,SEPA,1835,2,True,VSPOGB1OJ0Y,00:00-23:59,False,81,81,,2025-02-24 11:31:30
National Guyana Bank,GY,EUR,DOMESTIC_RAIL,1324,17,False,PDMGGBFKEQG,08:00-17:00,False,1253,1253,,2025-04-10 03:37:32
National Kuwait Bank,KW,DKK,DOMESTIC_RAIL,1042,19,False,KKJTGB7S,08:00-17:00,False,121,121,,2025-03-14 18:00:32
Royal Bank of Scotland,UK,GBP,CHAPS,2121,8,True,HVVTGBIR,08:00-16:00,True,287,287,,2025-04-13 00:37:35
Kuwait Bank,KW,DKK,DOMESTIC_RAIL,2182,15,False,XEXJGBVB8M8,08:00-17:00,False,188,188,,2025-02-28 15:56:05
Union Bank of India,IN,INR,UPI,2580,20,True,IN3516980603,00:00-23:59,False,69,69,,2025-04-08 20:28:15
Siemens Bank GmbH,DE,EUR,ELIXIR,750,19,True,YDFTGBO7,08:00-16:00,True,207,145,30% weekend discount,2025-03-02 19:50:32
Hamburg Commercial Bank,DE,EUR,SEPA,502,0,True,FMDPGBHDKKH,00:00-23:59,False,85,85,,2025-03-06 14:24:03
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,3220,19,True,WMRNGBYEHJI,08:00-17:00,False,233,233,,2025-04-04 13:03:52
Kuwait Bank,KW,DKK,DOMESTIC_RAIL,1595,1,True,IQATGBLJBVH,08:00-17:00,True,178,125,30% weekend discount,2025-03-22 12:17:03
Heritage Bank,US,USD,ACH,1536,1,True,209887614,00:00-23:59,False,163,163,,2025-02-13 13:19:04
Punjab National Bank,IN,INR,IMPS,432,18,True,IN9405170148,00:00-23:59,False,1594,1594,,2025-02-18 06:02:51
ICICI Bank,IN,INR,UPI,2446,8,True,IN3214692188,00:00-23:59,False,53,53,,2025-03-27 01:49:04
IndusInd Bank,IN,INR,NEFT,1705,7,False,IN7403469616,08:00-19:00,False,186,86,$1 off per 50 txn,2025-01-14 00:14:40
Bank OZK,US,USD,ACH,1397,14,True,607070490,00:00-23:59,True,189,132,30% weekend discount,2025-04-19 05:01:20
Santander UK,UK,GBP,CHAPS,2914,7,True,WNZEGB95,08:00-16:00,False,285,285,,2025-02-27 18:06:07
Umpqua Bank,US,USD,Fedwire,1955,18,True,284054856,08:30-17:00,False,2515,2415,$1 off per 50 txn,2025-04-22 22:52:19
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,3434,0,True,FPJBGBP6,08:00-17:00,True,220,220,,2025-03-01 09:39:17
National Kuwait Bank,KW,DKK,DOMESTIC_RAIL,1546,0,True,LRGEGBNO,08:00-17:00,False,189,189,,2025-01-28 22:53:05
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,1747,20,True,KPDEGB0I,08:00-17:00,False,163,163,,2025-03-20 21:18:52
Guyana Bank,GY,RWF,DOMESTIC_RAIL,2316,5,False,UTJPGBE2PJT,08:00-17:00,False,191,191,,2025-01-27 16:58:02
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,1932,9,False,ISRTGBVC,08:00-17:00,False,132,132,,2025-02-24 20:43:40
Fidelity Bank,US,USD,ACH,1645,2,False,719938317,00:00-23:59,True,162,113,30% weekend discount,2025-01-11 19:38:19
Commerzbank,DE,EUR,ELIXIR,2962,5,True,GLFXGBFY5XF,08:00-16:00,False,196,196,,2025-04-07 01:35:01
Fidor Bank,DE,EUR,SEPA,3449,12,True,USBJGBLC,00:00-23:59,False,156,156,,2025-03-17 21:56:02
Axis Bank,IN,INR,UPI,2733,0,True,IN8484184344,00:00-23:59,False,154,154,,2025-04-21 18:05:15
Santander,DE,EUR,ELIXIR,3401,19,True,CBRHGB74FWK,08:00-16:00,False,173,173,,2025-03-07 10:24:13
Allied Bank,US,USD,Fedwire,1994,11,True,485095867,08:30-17:00,True,2695,2695,,2025-03-29 19:40:34
Bank of Ireland,UK,GBP,CHAPS,2062,19,True,VPEFGBPL,08:00-16:00,False,217,217,,2025-01-03 14:25:46
Indian Bank,IN,INR,NEFT,2199,14,True,IN6134651096,08:00-19:00,False,132,132,,2025-02-17 11:41:17
ING,DE,EUR,SEPA,2648,6,True,RPWQGBIF5NZ,00:00-23:59,True,30,30,,2025-03-15 12:09:33
N26,DE,EUR,SEPA,3099,3,True,PQPKGBKCAIC,00:00-23:59,False,207,207,,2025-03-10 02:11:50
Volkswagen Bank,DE,EUR,ELIXIR,784,20,True,JWSRGBBFA54,08:00-16:00,False,242,242,,2025-01-23 00:23:20
National Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,3492,6,True,VZKWGBIE,08:00-17:00,False,129,129,,2025-02-10 17:02:55
Metro Bank,UK,USD,CHAPS,1128,3,True,VNHAGB0B,08:00-16:00,False,1259,1259,,2025-01-23 04:42:34
Commerzbank,DE,EUR,SEPA,2954,8,True,WYQAGBQI,00:00-23:59,False,187,187,,2025-02-27 01:23:00
Heritage Bank,US,USD,Fedwire,2442,1,True,417252969,08:30-17:00,False,2663,2663,,2025-02-19 08:15:13
NatWest,UK,GBP,CHAPS,1370,3,True,CRVHGBM1GQQ,08:00-16:00,False,331,331,,2025-01-10 12:20:02
Royal Bank of Scotland,UK,GBP,DIRECT,2400,13,True,ZHBSGBW7,00:00-23:59,False,91,91,,2025-01-28 16:09:53
Guyana Bank,GY,RWF,DOMESTIC_RAIL,1263,11,True,KFWGGBRY,08:00-17:00,False,253,253,,2025-01-08 22:18:11
Bank of America,US,USD,CHIPS,480,0,True,675137300,00:00-23:59,False,1189,1189,,2025-02-17 15:53:53
Sparkasse,DE,EUR,SEPA,3160,12,True,JYBGGBUF,00:00-23:59,True,153,153,,2025-01-18 13:58:54
Atom Bank PLC,UK,GBP,DIRECT,2891,15,True,UHGWGBVF,00:00-23:59,False,21,21,,2025-01-02 23:59:52
New Bank of India,IN,INR,UPI,2703,20,True,IN1517547837,00:00-23:59,True,182,182,,2025-01-12 04:57:46
First National Bank of Omaha,US,USD,Fedwire,3578,6,True,681045566,08:30-17:00,False,2521,2521,,2025-01-06 13:03:21
First Direct,UK,GBP,CHAPS,1436,10,True,RTFDGBX6,08:00-16:00,True,277,194,30% weekend discount,2025-02-08 09:43:53
Guyana Bank,GY,RWF,DOMESTIC_RAIL,3598,0,True,ZKKGGB9P7PD,08:00-17:00,False,119,119,,2025-02-04 20:13:32
State Bank of India (SBI),IN,INR,NEFT,1106,7,False,IN9965193222,08:00-19:00,True,186,186,,2025-01-11 08:33:39
Deutsche Bank,DE,EUR,SEPA,3008,10,True,BOEXGBPABS4,00:00-23:59,True,149,149,,2025-03-30 11:31:36
Kuwait Bank,KW,DKK,DOMESTIC_RAIL,1657,15,False,JZGBGBSCGYS,08:00-17:00,False,256,256,,2025-01-20 07:26:39
TARGOBANK,DE,EUR,SEPA,3304,9,True,EHGHGBBGOZP,00:00-23:59,False,165,165,,2025-02-18 00:36:39
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,3421,12,True,VTIVGBM9KNJ,08:00-17:00,False,255,255,,2025-01-27 18:49:21
Canara Bank,IN,INR,UPI,381,10,True,IN2608409374,00:00-23:59,True,91,91,,2025-02-15 08:18:50
Bank of Baroda,IN,INR,RTGS,3111,5,True,IN1282554951,00:00-23:59,True,2511,2511,,2025-02-23 04:37:27
National Kuwait Bank,KW,DKK,DOMESTIC_RAIL,970,12,True,SQHIGBHN2BI,08:00-17:00,False,218,218,,2025-01-13 10:39:45
Atom Bank PLC,UK,GBP,CHAPS,806,8,True,IYKJGB6ZTP0,08:00-16:00,False,345,345,,2025-01-16 08:22:34
Deutsche Kreditbank Aktiengesellschaft,DE,EUR,SEPA,1260,2,True,AOZDGB6LBLG,00:00-23:59,True,36,36,,2025-03-23 04:35:21
Lloyds Banking Group,UK,GBP,CHAPS,1079,0,False,MRFLGB2A,08:00-16:00,False,265,265,,2025-03-07 18:04:32
Santander,DE,EUR,SEPA,1260,5,True,EAAGGBVM,00:00-23:59,True,49,49,,2025-04-20 08:09:22
Canara Bank,IN,INR,RTGS,586,15,True,IN1053470746,00:00-23:59,False,2627,2627,,2025-01-01 03:06:00
Halifax,UK,GBP,CHAPS,3113,4,True,KKMRGBF6,08:00-16:00,False,295,295,,2025-01-02 13:39:04
Fidelity Investments,US,USD,Fedwire,3174,18,True,850705359,08:30-17:00,True,2592,2592,,2025-04-12 14:42:21
Commerce Bank,US,USD,Fedwire,3023,20,True,836644742,08:30-17:00,False,2537,2537,,2025-01-07 18:12:18
ABC International Bank plc,UK,EUR,CHAPS,3083,19,True,UZZLGB9P7I2,08:00-16:00,False,1335,1335,,2025-02-25 05:59:52
Nationwide,UK,GBP,DIRECT,3125,12,True,DHSSGB966B8,00:00-23:59,False,86,86,,2025-01-28 11:27:40
Bank of Maharashtra,IN,INR,NEFT,3563,16,True,IN3461882515,08:00-19:00,False,119,119,,2025-01-06 04:59:55
Nationwide,UK,GBP,DIRECT,2657,4,True,VZFNGB00TII,00:00-23:59,False,202,202,,2025-02-20 09:51:00
UCO Bank,IN,INR,NEFT,3395,5,True,IN6933054364,08:00-19:00,False,85,35,50 cent discount,2025-03-31 16:37:57
Provident Bank,US,USD,ACH,3508,13,True,953160334,00:00-23:59,False,224,224,,2025-04-18 13:10:53
Siemens Bank GmbH,DE,EUR,ELIXIR,2102,18,False,BUHQGBYST4V,08:00-16:00,True,267,267,,2025-01-19 03:15:15
Barclays,UK,GBP,CHAPS,2031,4,True,LPEFGBM0,08:00-16:00,True,1381,1381,,2025-01-19 06:12:49
Central Bank of India,IN,INR,IMPS,444,8,True,IN5436906069,00:00-23:59,False,1609,1609,,2025-04-11 01:23:59
New Bank of India,IN,INR,RTGS,2460,7,True,IN5909852311,00:00-23:59,False,2693,2693,,2025-01-03 10:38:37
Atom Bank PLC,UK,GBP,CHAPS,3094,1,True,ADGAGBX1,08:00-16:00,False,205,205,,2025-03-07 01:45:56
UniCredit Bank AG,DE,EUR,SEPA,1738,9,False,VSZRGBOQG02,00:00-23:59,False,42,42,,2025-04-14 03:52:00
Nationwide,UK,GBP,CHAPS,1930,5,True,VRFWGBMX,08:00-16:00,False,337,337,,2025-02-26 16:34:32
Syndicate Bank,IN,INR,RTGS,1369,16,True,IN3114542846,00:00-23:59,False,2571,2571,,2025-01-03 23:50:30
Metro Bank,UK,GBP,DIRECT,2191,10,True,WIIIGBOD,00:00-23:59,False,147,147,,2025-01-16 04:44:27
Fidor Bank,DE,EUR,ELIXIR,1929,12,True,ABBNGBTM,08:00-16:00,False,327,327,,2025-02-18 06:16:48
Bank of Ireland,UK,EUR,SWIFT,78088,15,True,HNKXGBNI,00:00-23:59,True,2696,2696,,2025-02-08 17:01:21
First Direct,UK,GBP,DIRECT,3116,1,False,FMMUGBCT,00:00-23:59,False,73,73,,2025-03-17 17:17:28
First Direct,UK,GBP,DIRECT,3514,20,True,DCKQGB2J106,00:00-23:59,False,1175,1075,$1 off per 50 txn,2025-04-18 17:07:52
Bank of Maharashtra,IN,INR,UPI,339,6,True,IN1573029700,00:00-23:59,False,173,173,,2025-02-18 02:17:56
Landesbank Baden-W�rttemberg,DE,EUR,ELIXIR,1173,0,False,PNVXGB97,08:00-16:00,False,292,292,,2025-01-17 23:57:10
Bank of Hawaii,US,USD,ACH,595,3,False,748252241,00:00-23:59,False,78,78,,2025-03-10 08:23:02
Guyana Bank,GY,GBP,DOMESTIC_RAIL,637,14,True,HCPUGBBTBMD,08:00-17:00,True,1351,946,30% weekend discount,2025-03-16 01:00:03
Landesbank Hessen-Th�ringen,DE,EUR,ELIXIR,3301,3,True,IUUFGBMT,08:00-16:00,False,318,318,,2025-02-10 09:33:20
Barclays,UK,EUR,DIRECT,1703,1,True,SIFMGBMAVRY,00:00-23:59,True,1150,1150,,2025-03-02 03:30:04
ING,DE,GBP,ELIXIR,2957,20,True,HDLBGBTV,08:00-16:00,False,1266,1266,,2025-02-03 22:01:18
First Bank of the West,US,USD,ACH,1247,13,True,041428809,00:00-23:59,True,79,79,,2025-01-11 21:17:34
Fidor Bank,DE,EUR,SEPA,2933,4,True,RGKFGBJ5,00:00-23:59,False,148,48,$1 off per 50 txn,2025-02-25 04:54:42
Provident Bank,US,USD,CHIPS,1770,20,True,193139282,00:00-23:59,False,1052,1052,,2025-01-01 17:33:09
UniCredit Bank AG,DE,EUR,SEPA,2076,12,True,TNZSGB9BLG8,00:00-23:59,True,202,202,,2025-03-15 18:52:27
Volkswagen Bank,DE,EUR,SEPA,1331,13,True,OPKNGBYP,00:00-23:59,True,121,85,30% weekend discount,2025-03-15 19:29:40
Guyana Bank,GY,RWF,DOMESTIC_RAIL,2959,20,True,ZBQGGBYA,08:00-17:00,False,215,215,,2025-04-15 11:21:51
Bank of Hawaii,US,USD,CHIPS,2601,16,True,601675828,00:00-23:59,False,1189,1189,,2025-04-14 12:20:36
Bank of India,IN,INR,UPI,403,19,True,IN0312928035,00:00-23:59,False,172,172,,2025-04-07 12:43:35
Deutsche Bank,DE,EUR,ELIXIR,504,3,True,CYIHGBGY,08:00-16:00,False,229,229,,2025-02-17 08:29:01
Barclays,UK,GBP,DIRECT,784,14,True,ITIVGBAGHBS,00:00-23:59,False,153,153,,2025-04-14 03:08:43
American Savings Bank,US,USD,Fedwire,3053,6,True,792016262,08:30-17:00,False,2635,2635,,2025-02-11 07:43:59
HSBC,UK,GBP,CHAPS,863,9,True,USUSGBIL,08:00-16:00,False,208,208,,2025-04-01 11:54:07
Royal Bank of Scotland,UK,GBP,CHAPS,731,19,True,ZSTJGBGK,08:00-16:00,False,206,206,,2025-04-08 13:19:07
PNC Bank,US,USD,ACH,1269,1,True,720427668,00:00-23:59,False,95,95,,2025-01-01 03:10:09
Umpqua Bank,US,USD,Fedwire,2838,12,True,613840490,08:30-17:00,False,2541,2541,,2025-03-19 08:51:31
IDBI Bank,IN,INR,NEFT,876,5,True,IN3310129138,08:00-19:00,False,245,245,,2025-03-20 08:13:40
First Direct,UK,USD,DIRECT,1065,5,True,CVQEGBK3,00:00-23:59,False,1043,993,50 cent discount,2025-02-06 20:50:13
Santander UK,UK,GBP,CHAPS,3030,10,True,NADCGBIS,08:00-16:00,True,261,183,30% weekend discount,2025-01-04 23:54:58
First Direct,UK,GBP,DIRECT,2649,7,True,UVGZGBKI,00:00-23:59,False,1117,1117,,2025-01-17 23:52:03
HSBC,UK,GBP,DIRECT,2650,13,True,SQVBGBCID09,00:00-23:59,False,86,86,,2025-04-04 07:11:47
Deutsche Bank,DE,EUR,ELIXIR,2954,14,True,SPTCGBN2215,08:00-16:00,False,253,253,,2025-02-05 19:46:38
N26,DE,EUR,ELIXIR,1776,6,False,KAKKGBBJK6R,08:00-16:00,False,337,337,,2025-02-07 03:27:42
Axis Bank,IN,INR,UPI,3108,11,True,IN7983449748,00:00-23:59,True,135,135,,2025-04-12 19:20:28
Lloyds Banking Group,UK,GBP,DIRECT,1380,10,True,QBDMGBOR,00:00-23:59,True,142,142,,2025-01-11 22:34:54
State Bank of India (SBI),IN,INR,NEFT,970,18,True,IN0476359707,08:00-19:00,False,63,63,,2025-01-01 16:44:23
Indian Overseas Bank,IN,INR,NEFT,1642,4,True,IN2663749529,08:00-19:00,True,123,123,,2025-03-30 08:55:01
Syndicate Bank,IN,INR,IMPS,2396,14,True,IN8953221654,00:00-23:59,False,1578,1578,,2025-04-18 01:27:06
Landesbank Hessen-Th�ringen,DE,EUR,SEPA,797,6,True,FQUNGBOZKSZ,00:00-23:59,False,175,175,,2025-02-10 10:53:46
Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,2839,11,True,BSZSGB8U,08:00-17:00,True,1371,1371,,2025-01-25 06:31:49
Indian Overseas Bank,IN,INR,NEFT,2127,5,True,IN7349030188,08:00-19:00,False,81,81,,2025-03-18 14:52:37
Heritage Bank,US,USD,ACH,679,7,True,553752807,00:00-23:59,False,39,39,,2025-01-30 16:02:28
Atom Bank PLC,UK,GBP,CHAPS,2771,2,False,BQDFGBJR,08:00-16:00,True,277,194,30% weekend discount,2025-02-23 01:29:19
DZ Bank,DE,EUR,ELIXIR,2832,6,True,KXKTGB54,08:00-16:00,True,1231,1231,,2025-02-16 16:00:42
First Direct,UK,EUR,CHAPS,1985,2,True,HFEAGBMU,08:00-16:00,False,1223,1173,50 cent discount,2025-01-15 17:28:27
Metro Bank,UK,GBP,DIRECT,2257,14,True,HDHIGBU3,00:00-23:59,False,162,162,,2025-04-01 01:25:26
ABC International Bank plc,UK,GBP,DIRECT,3377,8,True,FOKDGB4C2X1,00:00-23:59,False,173,173,,2025-01-09 06:31:36
Guyana Bank,GY,RWF,DOMESTIC_RAIL,3521,15,True,FOHRGBWJ,08:00-17:00,False,136,136,,2025-02-24 18:37:49
Guyana Bank,GY,RWF,DOMESTIC_RAIL,3386,12,True,RUEDGBZO,08:00-17:00,False,198,198,,2025-03-19 17:48:13
Lloyds Banking Group,UK,GBP,CHAPS,1602,15,True,XKWYGB3S,08:00-16:00,False,200,200,,2025-04-08 01:20:23
Halifax,UK,GBP,DIRECT,3350,6,False,FTSDGBN89CA,00:00-23:59,False,204,204,,2025-01-24 22:01:41
UCO Bank,IN,INR,RTGS,2495,19,True,IN4667944103,00:00-23:59,True,2633,2633,,2025-04-20 00:17:10
Kuwait Bank,KW,DKK,DOMESTIC_RAIL,3102,4,True,XBAPGBPIRI7,08:00-17:00,False,237,237,,2025-01-10 07:57:36
Hamburg Commercial Bank,DE,EUR,ELIXIR,1933,12,True,AKLKGBCBAMF,08:00-16:00,False,167,167,,2025-04-23 22:54:38
BankUnited,US,USD,Fedwire,427,10,True,250870602,08:30-17:00,False,2529,2529,,2025-03-26 13:19:02
Bank of India,IN,INR,RTGS,775,18,True,IN6898072604,00:00-23:59,True,2633,2633,,2025-02-01 15:13:45
BMO Harris Bank,US,USD,Fedwire,1822,18,True,913280917,08:30-17:00,True,2626,1838,30% weekend discount,2025-03-22 09:41:25
Kuwait Bank,KW,DKK,DOMESTIC_RAIL,2636,10,True,PEGQGB51VQ4,08:00-17:00,False,265,265,,2025-03-27 08:29:03
Guyana Bank,GY,RWF,DOMESTIC_RAIL,2117,9,True,YJVHGBCP,08:00-17:00,True,114,114,,2025-03-30 11:45:50
First Direct,UK,GBP,CHAPS,2226,7,True,TRDAGBHBRE9,08:00-16:00,False,318,318,,2025-02-12 15:16:01
Metro Bank,UK,GBP,CHAPS,1275,8,True,BILEGBJD,08:00-16:00,False,337,337,,2025-02-19 22:36:56
Kuwait Bank,KW,DKK,DOMESTIC_RAIL,1551,14,True,VUQNGBCP,08:00-17:00,False,126,126,,2025-04-09 16:24:41
Volksbank,DE,EUR,ELIXIR,754,12,True,TAVVGBSY,08:00-16:00,False,314,314,,2025-01-27 19:56:44
BankUnited,US,USD,ACH,2014,7,True,765043160,00:00-23:59,False,1160,1160,,2025-01-30 22:01:11
First Federal Bank of Chicago,US,USD,Fedwire,1495,9,True,781661356,08:30-17:00,False,2643,2543,$1 off per 50 txn,2025-03-21 00:40:19
Sparkasse,DE,EUR,SEPA,1941,8,True,PVZBGBE3VLB,00:00-23:59,False,187,187,,2025-04-23 02:02:26
Syndicate Bank,IN,INR,UPI,2317,9,True,IN7035454603,00:00-23:59,False,149,149,,2025-04-17 02:20:30
NatWest,UK,GBP,DIRECT,363,18,True,ZDYVGBEX,00:00-23:59,False,59,59,,2025-01-06 17:03:44
Hamburg Commercial Bank,DE,EUR,SEPA,1538,18,True,ACKAGBTY,00:00-23:59,True,168,118,30% weekend discount,2025-04-19 14:44:49
Bank of Ireland,UK,GBP,CHAPS,3008,4,False,WGVVGB1P,08:00-16:00,False,1295,1295,,2025-02-10 03:11:26
Landesbank Hessen-Th�ringen,DE,EUR,ELIXIR,3328,5,True,OCGSGBLE,08:00-16:00,False,189,189,,2025-02-05 22:39:31
NatWest,UK,GBP,CHAPS,763,10,True,PZFPGB39D76,08:00-16:00,False,177,177,,2025-01-13 16:14:35
Volkswagen Bank,DE,EUR,ELIXIR,2070,20,True,EEGIGB021OC,08:00-16:00,False,1340,1340,,2025-02-14 14:20:47
Deutsche Kreditbank Aktiengesellschaft,DE,EUR,SEPA,1694,12,True,ENEUGBBBEU5,00:00-23:59,True,61,61,,2025-03-02 06:12:21
N26,DE,EUR,SEPA,2483,5,True,DNISGB79Y00,00:00-23:59,True,161,161,,2025-02-15 17:15:26
Bank of Baroda,IN,INR,RTGS,524,10,False,IN7631624513,00:00-23:59,False,2567,2567,,2025-01-15 23:22:36
Guyana Bank,GY,RWF,DOMESTIC_RAIL,2469,2,True,WXUMGB2V,08:00-17:00,False,1380,1380,,2025-03-07 09:18:18
Kotak Mahindra Bank,IN,INR,RTGS,1404,13,False,IN6138306956,00:00-23:59,True,2596,2596,,2025-01-26 14:28:03
National Kuwait Bank,KW,DKK,DOMESTIC_RAIL,1724,5,True,CFETGBXJ,08:00-17:00,False,264,264,,2025-03-19 08:08:16
KeyBank,US,USD,ACH,1576,12,True,000093970,00:00-23:59,True,58,41,30% weekend discount,2025-02-16 11:20:24
Bank of Baroda,IN,INR,RTGS,1526,14,True,IN2496154733,00:00-23:59,True,2670,1869,30% weekend discount,2025-01-11 02:50:33
Punjab National Bank,IN,INR,RTGS,1279,20,True,IN5496314220,00:00-23:59,True,2675,1872,30% weekend discount,2025-04-20 05:40:37
Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,1174,13,True,ASCJGB0S,08:00-17:00,False,296,296,,2025-03-03 09:56:20
Heritage Bank,US,USD,CHIPS,2334,14,True,587633155,00:00-23:59,False,1114,1114,,2025-01-13 11:10:52
First Bank of the West,US,USD,Fedwire,429,7,True,940233120,08:30-17:00,False,2521,2471,50 cent discount,2025-02-14 08:20:27
Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,579,9,True,ZIBKGB00,08:00-17:00,True,165,165,,2025-01-05 01:14:34
First Republic Bank,US,USD,Fedwire,1048,12,True,504300744,08:30-17:00,False,2601,2601,,2025-03-31 02:52:45
UniCredit Bank AG,DE,EUR,SEPA,1651,17,True,QBZTGBFB,00:00-23:59,False,88,88,,2025-04-04 12:47:12
Halifax,UK,USD,DIRECT,1462,0,True,GAAKGB3T,00:00-23:59,False,1038,1038,,2025-01-09 23:11:19
Landesbank Hessen-Th�ringen,DE,EUR,ELIXIR,1357,6,False,GYJGGB2Y,08:00-16:00,True,277,277,,2025-01-26 07:02:04
First Republic Bank,US,USD,Fedwire,1964,6,True,231086641,08:30-17:00,True,2513,2513,,2025-01-18 23:20:50
Fidelity Investments,US,USD,Fedwire,2551,19,True,800929926,08:30-17:00,False,2645,2645,,2025-01-16 18:52:59
Republic Bank,US,USD,CHIPS,1179,11,False,309683572,00:00-23:59,True,1086,760,30% weekend discount,2025-01-25 01:49:35
Volkswagen Bank,DE,EUR,SEPA,2611,7,True,HDEPGBZF,00:00-23:59,True,1072,750,30% weekend discount,2025-01-04 17:00:42
Yes Bank,IN,INR,NEFT,3444,1,True,IN9039218019,08:00-19:00,False,86,86,,2025-04-18 20:03:09
Regions Bank,US,USD,ACH,1149,3,False,210335194,00:00-23:59,False,82,82,,2025-03-17 16:26:15
Republic Bank,US,EUR,CHIPS,3431,16,True,812350133,00:00-23:59,False,2139,2139,,2025-02-03 20:40:30
Sparkasse,DE,EUR,SEPA,1532,17,True,WHAYGB1LCSK,00:00-23:59,False,92,92,,2025-01-13 18:04:48
First Direct,UK,GBP,CHAPS,3342,17,True,WLVFGBF4,08:00-16:00,False,1263,1263,,2025-01-01 22:26:38
DZ Bank,DE,EUR,SEPA,1232,8,False,HDGLGBZHEDQ,00:00-23:59,False,47,47,,2025-03-12 05:17:15
Axis Bank,IN,INR,NEFT,1981,3,True,IN5085485986,08:00-19:00,True,84,84,,2025-01-04 19:08:52
TARGOBANK,DE,EUR,ELIXIR,3585,13,True,HQHJGBSV,08:00-16:00,False,211,211,,2025-03-28 20:05:47
HDFC Bank,IN,INR,IMPS,328,11,False,IN7280003000,00:00-23:59,False,1579,1479,$1 off per 50 txn,2025-01-03 13:50:40
IDBI Bank,IN,INR,RTGS,2313,6,True,IN8092431171,00:00-23:59,False,2609,2609,,2025-01-30 09:06:20
Fidor Bank,DE,EUR,ELIXIR,400,7,True,POOMGB6Q,08:00-16:00,False,163,163,,2025-03-07 21:28:24
Royal Bank of Canada (RBC),US,USD,ACH,2115,12,True,910558635,00:00-23:59,False,147,147,,2025-02-20 10:26:42
NatWest,UK,GBP,DIRECT,3528,0,True,VIEGGBGR,00:00-23:59,False,72,72,,2025-01-02 11:56:02
Central Bank of India,IN,INR,UPI,892,15,True,IN0673149601,00:00-23:59,False,142,142,,2025-02-11 04:20:26
Postbank,DE,EUR,SEPA,2142,12,True,HGYFGBHS,00:00-23:59,False,136,136,,2025-02-07 14:02:48
Bank of Baroda,IN,INR,UPI,2192,7,True,IN0797728742,00:00-23:59,False,139,139,,2025-03-18 02:09:13
National Sri Lanka Bank,LK,EUR,DOMESTIC_RAIL,3161,4,True,HUTCGBAV,08:00-17:00,False,1240,1240,,2025-01-07 04:21:44
Landesbank Baden-W�rttemberg,DE,EUR,SEPA,1119,5,True,VAGVGB3UVRB,00:00-23:59,False,132,132,,2025-04-17 19:29:18
Central Bank of India,IN,INR,UPI,1430,2,True,IN8056699028,00:00-23:59,False,64,64,,2025-02-05 22:07:44
